ID,Species,island,bill_length_mm,bill_depth_mm,flipper_length (mm),body mass (g),Sex,year
1,Adelie,Torgersen,39.1,18.7,181,3750,male,2007
2,adelie,Torgersen,39.5,17.4,186,3800,FEMALE,2007
3,Adelie,Torgersen,40.3,18,195,3250,Female,2007
4,Adelie,Torgersen,NA,NA,NA,NA,NA,2007
5,ADELIE,Torgersen,36.7,19.3,193,3450,female,2007
6,Adelie,Torgersen,39.3,20.6,190,3650,Male,2007
7,Adelie,Torgersen,38.9,17.8,181,3625,FEMALE,2007
8,Adelie,torgersen,39.2,19.6,195,4675,male,2007
9,Adelie,Torgersen,34.1,18.1,193,3475,n/a,2007
10,Adelie,Torgersen,42,20.2,190,4250,NA,2007
11,Adelie,Torgersen,37.8,17.1,186,3300,missing,2007
12,Adelie,Torgersen,37.8,17.3,180,3700,Female,2007
13,Adelie,Torgersen,41.1,17.6,182,3200,female,2007
14,Adelie,Torgersen,38.6,21.2,191,3800,male,2007
15,Adelie,Torgersen,34.6,21.1,198,4400,Male,2007
16,Adelie,Torgersen,36.6,17.8,185,3700,Female,2007
17,adelie,Torgersen,38.7,19,195,3450,FEMALE,2007
18,Adelie,Torgersen,42.5,20.7,197,4500,male,2007
19,Adelie,Torgersen,34.4,18.4,184,3325,FEMALE,2007
20,Adelie,Torgersen,46,21.5,194,4200,Male,2007
21,Adelie,Biscoe,37.8,18.3,174,3400,female,2007
22,adelie,Biscoe,37.7,18.7,180,3600,Male,2007
23,Adelie,biscoe,35.9,19.2,189,3800,Female,2007
24,ADELIE,Biscoe,38.2,18.1,185,3950,male,2007
25,Adelie,Biscoe,38.8,17.2,180,3800,Male,2007
26,Adelie,Biscoe,35.3,18.9,187,3800,female,2007
27,Adelie,Biscoe,40.6,18.6,183,3550,Male,2007
28,Adelie,Biscoe,40.5,17.9,187,3200,FEMALE,2007
29,Adelie,Biscoe,37.9,18.6,172,3150,female,2007
30,Adelie,Biscoe,40.5,18.9,180,3950,male,2007
31,Adelie,Dream,39.5,16.7,178,3250,Female,2007
32,adelie,Dream,37.2,18.1,178,3900,Male,2007
33,Adelie,dream,39.5,17.8,188,3300,female,2007
34,ADELIE,Dream,40.9,18.9,184,3900,male,2007
35,Adelie,Dream,36.4,17,195,3325,FEMALE,2007
36,Adelie,Dream,39.2,21.1,196,4150,Male,2007
37,Adelie,Dream,38.8,20,190,3950,male,2007
38,Adelie,Dream,42.2,18.5,180,3550,Female,2007
39,Adelie,Dream,37.6,19.3,181,3300,female,2007
40,Adelie,Dream,39.8,19.1,184,4650,Male,2007
41,Chinstrap,Dream,46.5,17.9,192,3500,female,2007
42,chinstrap,Dream,50,19.5,196,3900,Male,2007
43,Chinstrap,dream,51.3,19.2,193,3650,male,2007
44,CHINSTRAP,Dream,45.4,18.7,188,3525,FEMALE,2007
45,Chinstrap,Dream,52.7,19.8,197,3725,Male,2007
46,Chinstrap,Dream,45.2,17.8,198,3950,female,2007
47,Chinstrap,Dream,46.1,18.2,178,3250,Female,2007
48,Chinstrap,Dream,51.3,18.2,197,3750,male,2007
49,Chinstrap,Dream,46,18.9,195,4150,FEMALE,2007
50,Chinstrap,Dream,51.3,19.9,198,3700,Male,2007
51,Chinstrap,Dream,46.6,17.8,193,3800,female,2007
52,chinstrap,Dream,51.7,20.3,194,3775,Male,2007
53,Chinstrap,Dream,47,17.3,185,3700,Female,2007
54,CHINSTRAP,Dream,52,18.1,201,4050,male,2007
55,Chinstrap,Dream,45.9,17.1,190,3575,FEMALE,2007
56,Chinstrap,Dream,50.5,19.6,201,4050,Male,2007
57,Chinstrap,Dream,50.3,20,197,3300,male,2007
58,Chinstrap,Dream,58,17.8,181,3700,Female,2007
59,Chinstrap,Dream,46.4,18.6,190,3450,female,2007
60,Chinstrap,Dream,49.2,18.2,195,4400,Male,2007
61,Gentoo,Biscoe,46.1,13.2,211,4500,female,2007
62,gentoo,Biscoe,50,16.3,230,5700,male,2007
63,Gentoo,biscoe,48.7,14.1,210,4450,Female,2007
64,Gentoo,Biscoe,50,15.2,218,5700,Male,2007
65,GENTOO,Biscoe,47.6,14.5,215,5400,male,2007
66,Gentoo,Biscoe,46.5,13.5,210,4550,Female,2007
67,Gentoo,Biscoe,45.4,14.6,211,4800,FEMALE,2007
68,Gentoo,Biscoe,46.7,15.3,219,5200,male,2007
69,Gentoo,Biscoe,43.3,13.4,209,4400,female,2007
70,Gentoo,Biscoe,46.8,15.4,215,5150,Male,2007
71,Gentoo,Biscoe,40.9,13.7,214,4650,Female,2007
72,gentoo,Biscoe,49.6,16,225,5700,male,2007
73,Gentoo,Biscoe,45.5,13.7,214,4650,female,2007
74,GENTOO,Biscoe,50.5,15.9,222,5550,Male,2007
75,Gentoo,Biscoe,43.6,13.9,217,4900,FEMALE,2007
76,Gentoo,Biscoe,45.5,13.9,210,4200,female,2007
77,Gentoo,Biscoe,46.6,14.2,210,4850,FEMALE,2007
78,Gentoo,Biscoe,46.1,15.1,215,5100,male,2007
79,Gentoo,Biscoe,47.8,15,215,5650,Male,2007
80,Gentoo,Biscoe,48.4,14.6,213,5850,male,2007
81,Gentoo,Biscoe,45.2,14.8,212,5200,female,2007
82,gentoo,Biscoe,49.3,15.7,217,5850,Male,2007
83,Gentoo,biscoe,42,13.5,210,4150,Female,2007
84,GENTOO,Biscoe,49.2,15.2,221,6300,male,2007
85,Gentoo,Biscoe,46.2,14.5,209,4800,FEMALE,2007
