strain,treatment,body_length_mm,body_width_mm,caudal_fin_length_mm,body_mass_g,sex,year
AB,WT,39.1,9.35,6.033333333333333,3.75,male,2018
AB,WT,39.5,8.7,6.2,3.8,female,2018
AB,WT,40.3,9,6.5,3.25,female,2018
AB,WT,NA,NA,NA,NA,NA,2018
AB,WT,36.7,9.65,6.433333333333334,3.45,female,2018
AB,WT,39.3,10.3,6.333333333333333,3.65,male,2018
AB,WT,38.9,8.9,6.033333333333333,3.625,female,2018
AB,WT,39.2,9.8,6.5,4.675,male,2018
AB,WT,34.1,9.05,6.433333333333334,3.475,NA,2018
AB,WT,42,10.1,6.333333333333333,4.25,NA,2018
AB,WT,37.8,8.55,6.2,3.3,NA,2018
AB,WT,37.8,8.65,6,3.7,NA,2018
AB,WT,41.1,8.8,6.066666666666666,3.2,female,2018
AB,WT,38.6,10.6,6.366666666666666,3.8,male,2018
AB,WT,34.6,10.55,6.6,4.4,male,2018
AB,WT,36.6,8.9,6.166666666666667,3.7,female,2018
AB,WT,38.7,9.5,6.5,3.45,female,2018
AB,WT,42.5,10.35,6.566666666666666,4.5,male,2018
AB,WT,34.4,9.2,6.133333333333334,3.325,female,2018
AB,WT,46,10.75,6.466666666666667,4.2,male,2018
AB,KO,37.8,9.15,5.8,3.4,female,2018
AB,KO,37.7,9.35,6,3.6,male,2018
AB,KO,35.9,9.6,6.3,3.8,female,2018
AB,KO,38.2,9.05,6.166666666666667,3.95,male,2018
AB,KO,38.8,8.6,6,3.8,male,2018
AB,KO,35.3,9.45,6.233333333333333,3.8,female,2018
AB,KO,40.6,9.3,6.1,3.55,male,2018
AB,KO,40.5,8.95,6.233333333333333,3.2,female,2018
AB,KO,37.9,9.3,5.733333333333333,3.15,female,2018
AB,KO,40.5,9.45,6,3.95,male,2018
AB,OE,39.5,8.35,5.933333333333334,3.25,female,2018
AB,OE,37.2,9.05,5.933333333333334,3.9,male,2018
AB,OE,39.5,8.9,6.266666666666667,3.3,female,2018
AB,OE,40.9,9.45,6.133333333333334,3.9,male,2018
AB,OE,36.4,8.5,6.5,3.325,female,2018
AB,OE,39.2,10.55,6.533333333333333,4.15,male,2018
AB,OE,38.8,10,6.333333333333333,3.95,male,2018
AB,OE,42.2,9.25,6,3.55,female,2018
AB,OE,37.6,9.65,6.033333333333333,3.3,female,2018
AB,OE,39.8,9.55,6.133333333333334,4.65,male,2018
AB,OE,36.5,9,6.066666666666666,3.15,female,2018
AB,OE,40.8,9.2,6.5,3.9,male,2018
AB,OE,36,9.25,6.2,3.1,female,2018
AB,OE,44.1,9.85,6.533333333333333,4.4,male,2018
AB,OE,37,8.45,6.166666666666667,3,female,2018
AB,OE,39.6,9.4,6.333333333333333,4.6,male,2018
AB,OE,41.1,9.5,6.066666666666666,3.425,male,2018
AB,OE,37.5,9.45,5.966666666666667,2.975,NA,2018
AB,OE,36,8.95,6.333333333333333,3.45,female,2018
AB,OE,42.3,10.6,6.366666666666666,4.15,male,2018
AB,KO,39.6,8.85,6.2,3.5,female,2019
AB,KO,40.1,9.45,6.266666666666667,4.3,male,2019
AB,KO,35,8.95,6.333333333333333,3.45,female,2019
AB,KO,42,9.75,6.666666666666667,4.05,male,2019
AB,KO,34.5,9.05,6.233333333333333,2.9,female,2019
AB,KO,41.4,9.3,6.366666666666666,3.7,male,2019
AB,KO,39,8.75,6.2,3.55,female,2019
AB,KO,40.6,9.4,6.433333333333334,3.8,male,2019
AB,KO,36.5,8.3,6.033333333333333,2.85,female,2019
AB,KO,37.6,9.55,6.466666666666667,3.75,male,2019
AB,KO,35.7,8.45,6.166666666666667,3.15,female,2019
AB,KO,41.3,10.55,6.5,4.4,male,2019
AB,KO,37.6,8.5,6.166666666666667,3.6,female,2019
AB,KO,41.1,9.1,6.4,4.05,male,2019
AB,KO,36.4,8.55,6.133333333333334,2.85,female,2019
AB,KO,41.6,9,6.4,3.95,male,2019
AB,KO,35.5,8.1,6.5,3.35,female,2019
